0.00,30.0000000000,4.0000000000
0.10,31.0014543663,3.9607734510
0.20,32.0383250935,3.9311350951
0.30,33.1113529625,3.9111965393
0.40,34.2212436371,3.9011395697
0.50,35.3686568714,3.9012220359
0.60,36.5541939236,3.9117849146
0.70,37.7783828769,3.9332607327
0.80,39.0416615189,3.9661835658
0.90,40.3443573696,4.0112008610
1.00,41.6866643835,4.0690873788
1.10,43.0686157690,4.1407615964
1.20,44.4900522808,4.2273049706
1.30,45.9505852348,4.3299845211
1.40,47.4495533817,4.4502792609
1.50,48.9859726440,4.5899110756
1.60,50.5584775834,4.7508807242
1.70,52.1652533170,4.9355097031
1.80,53.8039564560,5.1464887752
1.90,55.4716235041,5.3869339896
2.00,57.1645650518,5.6604510060
2.10,58.8782440586,5.9712084410
2.20,60.6071365815,6.3240207349
2.30,62.3445735370,6.7244406401
2.40,64.0825625789,7.1788607554
2.50,65.8115900500,7.6946224722
2.60,67.5204043942,8.2801290909
2.70,69.1957846151,8.9449575329
2.80,70.8223005962,9.6999597715
2.90,72.3820766692,10.5573406095
3.00,73.8545760364,11.5306925114
3.10,75.2164317683,12.6349607579
3.20,76.4413601602,13.8863033833
3.30,77.5002038961,15.3018007923
3.40,78.3611646854,16.8989610620
3.50,78.9902956799,18.6949612474
3.60,79.3523294612,20.7055665491
3.70,79.4119124567,22.9436834958
3.80,79.1352946757,25.4175368251
3.90,78.4924778784,28.1285183461
4.00,77.4597513722,31.0688417926
4.10,76.0224445760,34.2192445300
4.20,74.1776121575,37.5470864604
4.30,71.9362671919,41.0052759302
4.40,69.3247278438,44.5324597412
4.50,66.3846818609,48.0548114703
4.60,63.1717227886,51.4895258040
4.70,59.7523601552,54.7498064805
4.80,56.1997992907,57.7507987941
4.90,52.5890419752,60.4156679236
5.00,48.9919956324,62.6809504044
5.10,45.4732525437,64.5004405389
5.20,42.0870250418,65.8471754636
5.30,38.8754609158,66.7134554434
5.40,35.8682979417,67.1091706386
5.50,33.0836155249,67.0589233886
5.60,30.5293374394,66.5985094771
5.70,28.2051285736,65.7712738496
5.80,26.1043829939,64.6247330349
5.90,24.2160864027,63.2077081273
6.00,22.5264247626,61.5680761523
6.10,21.0200850517,59.7511440329
6.20,19.6812469006,57.7985831555
6.30,18.4942956912,55.7478291772
6.40,17.4443027650,53.6318426039
6.50,16.5173219017,51.4791318166
6.60,15.7005478848,49.3139542928
6.70,14.9823762835,47.1566285589
6.80,14.3523958931,45.0239057761
6.90,13.8013379210,42.9293641704
7.00,13.3209996433,40.8838011729
7.10,12.9041550930,38.8956071360
7.20,12.5444613423,36.9711111446
7.30,12.2363659611,35.1148941686
7.40,11.9750190788,33.3300680229
7.50,11.7561919686,31.6185206961
7.60,11.5762030478,29.9811298905
7.70,11.4318515159,28.4179473203
7.80,11.3203584292,26.9283566371
7.90,11.2393147663,25.5112079166
8.00,11.1866359062,24.1649315441
8.10,11.1605218936,22.8876341558
8.20,11.1594228584,21.6771790571
8.30,11.1820089876,20.5312532894
8.40,11.2271444905,19.4474232690
8.50,11.2938650476,18.4231806824
8.60,11.3813582902,17.4559801061
8.70,11.4889469070,16.5432696170
8.80,11.6160740268,15.6825154879
8.90,11.7622905673,14.8712219016
9.00,11.9272442844,14.1069464875
9.10,12.1106702888,13.3873123613
9.20,12.3123828312,12.7100172502
9.30,12.5322681825,12.0728401977
9.40,12.7702784593,11.4736462661
9.50,13.0264262680,10.9103895931
9.60,13.3007800536,10.3811151016
9.70,13.5934600600,9.8839591164
9.80,13.9046348153,9.4171491034
9.90,14.2345180725,8.9790027101
10.00,14.5833661395,8.5679262609
10.10,14.9514755451,8.1824128341
10.20,15.3391809907,7.8210400290
10.30,15.7468535436,7.4824675130
10.40,16.1748990346,7.1654344244
10.50,16.6237566216,6.8687566958
10.60,17.0938974892,6.5913243502
10.70,17.5858236518,6.3320988167
10.80,18.1000668325,6.0901103031
10.90,18.6371873888,5.8644552590
11.00,19.1977732584,5.6542939579
11.10,19.7824388974,5.4588482227
11.20,20.3918241815,5.2773993186
11.30,21.0265932420,5.1092860330
11.40,21.6874332048,4.9539029632
11.50,22.3750527975,4.8106990322
11.60,23.0901807897,4.6791762524
11.70,23.8335642228,4.5588887603
11.80,24.6059663865,4.4494421452
11.90,25.4081644882,4.3504930991
12.00,26.2409469575,4.2617494189
12.10,27.1051103200,4.1829703961
12.20,28.0014555625,4.1139676351
12.30,28.9307839022,4.0546063478
12.40,29.8938918586,4.0048071825
12.50,30.8915655096,3.9645486517
12.60,31.9245737957,3.9338702394
12.70,32.9936607133,3.9128762783
12.80,34.0995362112,3.9017407084
12.90,35.2428655765,3.9007128435
13.00,36.4242570551,3.9101242993
13.10,37.6442474149,3.9303972599
13.20,38.9032851076,3.9620542947
13.30,40.2017106263,4.0057299708
13.40,41.5397335918,4.0621845504
13.50,42.9174060217,4.1323201100
13.60,44.3345911455,4.2171994732
